"","Date","GRAND LARCENY","FELONY ASSAULT","ROBBERY","BURGLARY","GRAND LARCENY OF MOTOR VEHICLE","RAPE","MURDER"
"296",2006-10-23,157,51,90,71,37,1,4
"297",2006-10-24,128,30,91,65,37,3,0
"298",2006-10-25,136,40,69,80,51,4,1
"299",2006-10-26,137,27,74,60,41,1,1
"300",2006-10-27,132,48,84,73,46,8,2
"301",2006-10-28,131,49,67,76,50,4,1
"302",2006-10-29,114,61,75,45,36,1,3
"303",2006-10-30,116,41,79,65,43,3,1
"304",2006-10-31,147,63,97,79,40,3,1
"305",2006-11-01,206,60,78,64,45,18,3
"306",2006-11-02,151,34,58,56,41,3,1
"307",2006-11-03,157,44,79,70,43,7,0
"308",2006-11-04,120,29,60,47,36,3,2
"309",2006-11-05,115,52,54,53,38,4,3
"310",2006-11-06,137,31,55,72,55,2,0
"311",2006-11-07,132,39,64,52,37,4,1
"312",2006-11-08,116,33,70,60,38,1,4
"313",2006-11-09,119,36,76,64,54,3,1
"314",2006-11-10,156,33,69,88,53,7,0
"315",2006-11-11,144,71,59,55,47,5,3
"316",2006-11-12,106,60,59,44,45,3,4
"317",2006-11-13,128,43,75,93,35,3,2
"318",2006-11-14,133,37,62,55,37,2,1
"319",2006-11-15,162,40,82,73,35,4,3
"320",2006-11-16,134,37,70,82,33,2,1
"321",2006-11-17,173,44,90,80,53,3,0
"322",2006-11-18,155,55,55,46,41,3,3
"323",2006-11-19,105,68,59,41,51,3,3
"324",2006-11-20,139,32,69,66,38,5,0
"325",2006-11-21,124,31,72,75,36,2,0
"326",2006-11-22,156,29,74,91,48,2,2
"327",2006-11-23,73,42,46,54,38,7,2
"328",2006-11-24,133,42,60,53,39,3,2
"329",2006-11-25,111,63,70,60,45,3,3
"330",2006-11-26,100,47,63,43,42,3,1
"331",2006-11-27,139,31,79,65,54,5,2
"332",2006-11-28,144,41,83,86,33,2,0
"333",2006-11-29,126,25,82,70,32,2,0
"334",2006-11-30,159,45,77,81,36,5,1
"335",2006-12-01,250,41,85,88,48,25,2
"336",2006-12-02,167,49,71,60,31,4,5
"337",2006-12-03,117,47,68,32,40,2,1
"338",2006-12-04,144,37,75,60,45,4,2
"339",2006-12-05,115,36,65,61,38,1,4
"340",2006-12-06,153,43,62,75,43,3,2
"341",2006-12-07,129,35,81,62,49,2,1
"342",2006-12-08,135,32,59,77,39,4,0
"343",2006-12-09,128,57,54,70,33,6,1
"344",2006-12-10,126,62,49,46,42,1,6
"345",2006-12-11,145,36,76,70,40,4,2
"346",2006-12-12,131,48,84,81,41,4,1
"347",2006-12-13,142,18,67,81,41,0,1
"348",2006-12-14,148,28,74,56,41,4,2
"349",2006-12-15,188,45,87,81,48,6,3
"350",2006-12-16,139,37,58,49,39,6,0
"351",2006-12-17,109,39,59,41,43,1,3
"352",2006-12-18,142,29,77,69,48,2,1
"353",2006-12-19,134,31,79,79,30,5,3
"354",2006-12-20,170,49,91,75,32,7,0
"355",2006-12-21,171,43,70,82,58,4,3
"356",2006-12-22,145,62,91,106,53,6,1
"357",2006-12-23,134,54,69,75,36,3,1
"358",2006-12-24,111,51,67,55,33,2,5
"359",2006-12-25,52,36,45,47,33,7,3
"360",2006-12-26,106,37,63,40,45,2,2
"361",2006-12-27,121,38,58,76,36,5,0
"362",2006-12-28,112,37,73,61,42,1,1
"363",2006-12-29,118,54,74,74,33,1,2
"364",2006-12-30,111,40,69,66,37,4,2
"365",2006-12-31,100,53,63,61,26,3,3
"366",2007-01-01,226,107,72,29,49,38,1
"367",2007-01-02,136,42,63,58,37,4,0
"368",2007-01-03,137,46,68,80,33,7,1
"369",2007-01-04,114,32,63,69,36,2,0
"370",2007-01-05,119,42,58,88,49,5,4
"371",2007-01-06,137,30,60,39,52,1,0
"372",2007-01-07,99,40,62,38,34,1,0
"373",2007-01-08,121,34,66,75,33,3,1
"374",2007-01-09,103,37,67,56,26,1,1
"375",2007-01-10,133,32,54,50,25,1,0
"376",2007-01-11,129,38,67,68,35,3,1
"377",2007-01-12,123,44,82,100,41,0,1
"378",2007-01-13,119,55,59,47,38,2,1
"379",2007-01-14,104,40,75,54,44,3,1
"380",2007-01-15,124,29,54,55,29,2,0
"381",2007-01-16,123,28,57,81,33,4,2
"382",2007-01-17,107,32,45,67,38,4,0
"383",2007-01-18,107,38,73,48,32,2,0
"384",2007-01-19,130,40,68,82,37,3,0
"385",2007-01-20,124,39,58,39,29,5,0
"386",2007-01-21,94,42,48,34,26,0,1
"387",2007-01-22,92,29,67,64,31,2,0
"388",2007-01-23,120,37,58,73,34,2,1
"389",2007-01-24,110,34,60,56,43,2,0
"390",2007-01-25,99,29,43,52,33,2,0
"391",2007-01-26,102,35,36,58,35,4,1
"392",2007-01-27,122,53,51,51,33,2,2
"393",2007-01-28,109,65,47,51,33,2,3
"394",2007-01-29,122,30,47,57,38,1,0
"395",2007-01-30,102,35,49,72,39,1,0
"396",2007-01-31,103,26,59,66,31,2,1
"397",2007-02-01,152,30,51,56,35,10,1
"398",2007-02-02,141,41,59,64,31,5,0
"399",2007-02-03,77,42,53,47,32,3,1
"400",2007-02-04,94,44,42,36,26,5,2
"401",2007-02-05,106,32,43,46,22,3,0
"402",2007-02-06,108,16,38,44,16,3,1
"403",2007-02-07,112,27,42,51,30,2,0
"404",2007-02-08,101,30,41,53,22,2,3
"405",2007-02-09,123,41,55,52,42,1,0
"406",2007-02-10,109,49,43,48,47,3,2
"407",2007-02-11,65,50,42,33,27,2,3
"408",2007-02-12,98,35,69,44,26,3,0
"409",2007-02-13,105,40,54,65,30,1,0
"410",2007-02-14,89,26,48,41,24,3,0
"411",2007-02-15,96,37,43,36,22,3,0
"412",2007-02-16,130,37,44,65,26,3,0
"413",2007-02-17,105,51,45,37,30,5,0
"414",2007-02-18,91,48,40,47,18,2,1
"415",2007-02-19,90,38,39,44,27,4,0
"416",2007-02-20,113,29,47,61,35,3,0
